BOLD Process-ID	MUSIT no with prefix	Vitenskapelig navn i BOLD	sekvenslengde	Validert vitenskapelig navn etter strekkoding	valideringsmetode	Ekspert
NOBAS4214-17	O-F-253830	Cortinarius septentrionalis	633[5n]	Validert	ekspert	Balint Dima
NOBAS4215-17	O-F-253829	Cortinarius saniosus	606[0n]	Validert	ekspert	Balint Dima
NOBAS4216-17	O-F-253828	Cortinarius mucifluus	693[0n]	Validert	unite, dendrogram, ekspert	Balint Dima
NOBAS4217-17	O-F-253826	Entoloma caesiellum	704[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4218-17	O-F-253825	Entoloma sericeum	681[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4219-17	O-F-253824	Infundibulicybe gibba	693[1n]	Validert	unite, ref.seq.	Brandrud, Dima
NOBAS4220-17	O-F-253823	Cortinarius sp. BD32	682[0n]	Validert	ekspert	Balint Dima
NOBAS4221-17	O-F-253822	Cortinarius imbutus	584[1n]	Validert	type, unite, ekspert	Balint Dima
NOBAS4222-17	O-F-253821	Cortinarius sp.	606[0n]			Balint Dima
NOBAS4223-17	O-F-253820	Entoloma olivaceotinctum	690[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4224-17	O-F-253819	Entoloma violaceoserrulatum	694[4n]	Validert	ekspert	Brandrud, Dima
NOBAS4225-17	O-F-253818	Entoloma lividocyanulum	627[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4226-17	O-F-253817	Entoloma asprellum	697[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4227-17	O-F-253816	Entoloma lividocyanulum	653[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4228-17	O-F-253815	Cortinarius hinnuleus	596[0n]			Brandrud, Dima
NOBAS4229-17	O-F-253814	Entoloma majaloides	918[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4230-17	O-F-253813	Inocybe gymnocarpa	749[0n]	Validert	ekspert	Ellen Larsson
NOBAS4231-17	O-F-253812	Cortinarius fuscescens	590[0n]	Validert	ekspert	Balint Dima
NOBAS4232-17	O-F-253811	Entoloma chalybeum	703[2n]	Validert	ekspert	Brandrud, Dima
NOBAS4233-17	O-F-253810	Porpoloma metapodium	744[0n]	Validert	unite	
NOBAS4234-17	O-F-253809	Entoloma formosum	710[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4235-17	O-F-253808	Xerocomus badius	797[0n]			
NOBAS4236-17	O-F-253807	Cortinarius patibilis	594[0n]	Validert	unite, dendrogram, ekspert	Balint Dima
NOBAS4237-17	O-F-253806	Lyophyllum semitale	674[0n]	Validert	unite, ref.seq.	
NOBAS4238-17	O-F-253804	Entoloma majaloides	909[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4239-17	O-F-253805	Inocybe paludicola	655[1n]	Validert	ekspert	Ellen Larsson
NOBAS4240-17	O-F-253803	Entoloma asprellum	697[2n]	Validert	ekspert	Brandrud, Dima
NOBAS4241-17	O-F-253802	Entoloma chalybeum	703[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4242-17	O-F-253801	Inocybe proximella	612[0n]	Validert	Validert	Ellen Larsson
NOBAS4243-17	O-F-253800	Amanita rubescens	694[0n]	Validert	unite, dendrogram	
NOBAS4244-17	O-F-253799	Pleurotus cornucopiae	665[0n]			
NOBAS4245-17	O-F-253850	Lactarius aspideus	950[0n]	Validert	unite	
NOBAS4246-17	O-F-253796	Amanita arctica	588[0n]	Validert	unite, ref.seq.	
NOBAS4247-17	O-F-253795	Inocybe assimilata	530[1n]	Validert	ekspert	Ellen Larsson
NOBAS4248-17	O-F-253793	Inocybe ovatocystis	681[0n]	Validert	ekspert	Ellen Larsson
NOBAS4249-17	O-F-253792	Inocybe leptophylla	661[0n]	Validert	ekspert	Ellen Larsson
NOBAS4250-17	O-F-253791	Cortinarius acutus	691[0n]	Validert	unite, dendrogram	Brandrud, Dima
NOBAS4251-17	O-F-304646	Steccherinum fimbriatellum	650[0n]	Validert	unite	
NOBAS4252-17	O-F-146076	Cortinarius xanthocephalus	676[0n]	Validert	blast mot egne sekvenser	Brandrud, Dima
NOBAS4253-17	O-F-71939	Deconica horizontalis	536[2n]			
NOBAS4254-17	O-F-302530	Hydropus sp.	698[4n]	Validert	ekspert	Arne Aronsen
NOBAS4255-17	O-F-302783	Lactarius brunneoviolaceus	0	Contamination		
NOBAS4256-17	O-F-302789	Arrhenia sp.	638[0n]	slekt validert	unite	
NOBAS4257-17	O-F-302792	Rhodocollybia maculata	621[1n]			
NOBAS4258-17	O-F-302794	Hygrocybe irrigata	0[n]	no sequence		
NOBAS4259-17	O-F-302798	Cantharellus melanoxeros	666[0n]	Validert	unite, dendrogram	
NOBAS4260-17	O-F-302799	Gymnopilus picreus	693[0n]	Validert	unite, ref.seq.	
NOBAS4261-17	O-F-302800	Sebacina incrustans	610[1n]			
NOBAS4262-17	O-F-302804	Russula aurea	710[0n]	Validert	unite	
NOBAS4263-17	O-F-302811	Sarcodon squamosus	756[0n]	Validert	unite, ref.seq.	
NOBAS4264-17	O-F-126872	Clitocybe festiva	808[0n]			Pablo Alvarado
NOBAS4265-17	O-F-302816	Bankera fuligineoalba	663[0n]	Validert	unite, ref.seq.	
NOBAS4266-17	O-F-76183	Agrocybe rivulosa	634[0n]			
NOBAS4267-17	O-F-302787	Lactarius salicis-reticulatae	0[n]	no sequence		
NOBAS4268-17	O-F-304700	Antrodiella americana	0[n]	no sequence		
NOBAS4269-17	O-F-304701	Leucogyrophana romellii	667[0n]	Validert	unite, ref.seq.	
NOBAS4270-17	O-F-146006	Rhodocybe stangliana	708[0n]	Validert	dendrogram	
NOBAS4271-17	O-F-241989	Squamanita paradoxa	684[0n]	Validert	unite	
NOBAS4272-17	O-F-241990	Squamanita paradoxa	681[0n]	Validert	unite	
NOBAS4273-17	O-F-248982	Mycetinis querceus	790[0n]	Validert	unite, ref.seq.	
NOBAS4274-17	O-F-243275	Gymnopus oreadoides	775[0n]			
NOBAS4275-17	O-F-370322	Gymnopus loiseleurietorum	0[n]	no sequence		
NOBAS4276-17	O-F-281674	Mycetinis alliaceus	769[1n]	Validert	unite, ref.seq.	
NOBAS4277-17	O-F-66087	Mycetinis alliaceus	769[1n]	Validert	unite, ref.seq.	
NOBAS4278-17	O-F-165819	Mycetinis scorodonius	774[2n]	Validert	unite, ref.seq.	
NOBAS4279-17	O-F-85367	Mycetinis scorodonius	775[0n]	Validert	unite, ref.seq.	
NOBAS4280-17	O-F-302534	Mycena alexandri	0[n]	no sequence		
NOBAS4281-17	O-F-304688	Arrhenia retiruga	643[0n]	Validert	dendrogram, rett slekt	
NOBAS4282-17	O-F-304679	Mycena abramsii	686[0n]	Validert	ekspert	Arne Aronsen
NOBAS4283-17	O-F-302535	Mycena alexandri	0[n]	no sequence		
NOBAS4284-17	O-F-304684	Mycena rosella	702[0n]	Validert	unite	
NOBAS4285-17	O-F-304675	Mycena filopes	732[0n]	Validert	unite, dendrogram	
NOBAS4286-17	O-F-304670	Hymenopellis radicata	795[0n]	Validert	ekspert	Arne Aronsen
NOBAS4287-17	O-F-360085	Russula aquosa	683[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4288-17	O-F-179436	Russula crassipes	684[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4289-17	O-F-179439	Russula crassipes	696[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4290-17	O-F-360890	Russula crassipes	684[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4291-17	O-F-75914	Inocybe proximella	612[0n]	Validert	Validert	Ellen Larsson
NOBAS4292-17	O-F-76155	Clitocybe vibecina	630[1n]	Validert	ekspert	Pablo Alvarado
NOBAS4293-17	O-F-222368	Cortinarius inexspectatus	683[0n]	Validert	ekspert	Balint Dima
NOBAS4294-17	O-F-76168	Russula favrei	703[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4295-17	O-F-76169	Cortinarius raphanoides	594[0n]	Validert	ekspert	Balint Dima
NOBAS4296-17	O-F-76170	Cortinarius violaceonitens	675[0n]	Validert	ekspert	Balint Dima
NOBAS4297-17	O-F-295719	Lactarius trivialis	0[n]	no sequence		
NOBAS4298-17	O-F-64040	Clitocybe sp.	683[0n]			Pablo Alvarado
NOBAS4299-17	O-F-220259	Clitocybe metachroa	679[1n]	Validert	ekspert	Pablo Alvarado
NOBAS4300-17	O-F-240243	Clitocybe diatreta	679[1n]	Validert	ekspert	Pablo Alvarado
NOBAS4301-17	O-F-243602	Clitocybe vibecina	679[0n]	Validert	ekspert	Pablo Alvarado
NOBAS4302-17	O-F-73007	Clitocybe vibecina	550[1n]	Validert	ekspert	Pablo Alvarado
NOBAS4303-17	O-F-252997	Gymnopilus odini	683[1n]	Validert	unite	
NOBAS4304-17	O-F-76180	Squamanita odorata	690[0n]	Validert	unite, ref.seq.	
NOBAS4305-17	O-F-252998	Lyophyllum transforme	570[0n]	Validert	unite, dendrogram	
NOBAS4306-17	O-F-253003	Hygrophorus cossus	613[0n]	Validert	unite	
NOBAS4307-17	O-F-253004	Marasmius torquescens	724[0n]	Validert	unite, ref.seq.	
NOBAS4308-17	O-F-253005	Cortinarius pseudoarcuatorum	678[0n]	Validert	ekspert	Balint Dima
NOBAS4309-17	O-F-253006	Albatrellus subrubescens	644[0n]	Validert	unite, dendrogram	
NOBAS4310-17	O-F-253007	Hydnum umbilicatum	643[0n]	Validert	genbank	Gunnhild
NOBAS4311-17	O-F-252959	Inocybe aurea	686[0n]	Validert	ekspert	Ellen Larsson
NOBAS4312-17	O-F-252965	Hygrocybe lilacina	642[0n]			
NOBAS4313-17	O-F-252968	Gerhardtia borealis	608[0n]	Validert	unite, ref.seq.	
NOBAS4314-17	O-F-252973	Entoloma queletii	707[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4315-17	O-F-252975	Rhodocybe popinalis	699[0n]	Validert	unite	
NOBAS4316-17	O-F-252977	Lactarius leonis	741[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4317-17	O-F-252976	Entoloma rhodopolium	939[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4318-17	O-F-304580	Entoloma leochromus	699[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4319-17	O-F-304579	Entoloma carneogriseum	711[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4320-17	O-F-304578	Entoloma serrulatum	633[4n]	Validert	ekspert	Brandrud, Dima
NOBAS4321-17	O-F-304577	Entoloma caesiellum	707[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4322-17	O-F-304595	Entoloma atrocoeruleum	683[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4323-17	O-F-304594	Entoloma atrocoeruleum	683[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4324-17	O-F-304593	Entoloma poliopus	707[2n]	Validert	ekspert	Brandrud, Dima
NOBAS4325-17	O-F-304592	Entoloma queletii	707[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4326-17	O-F-304575	Entoloma holmvassdalenense	706[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4327-17	O-F-304574	Entoloma sarcitulum	659[2n]	Validert	ekspert	Brandrud, Dima
NOBAS4328-17	O-F-304573	Entoloma caesiellum	621[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4329-17	O-F-304571	Entoloma caesiellum	635[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4330-17	O-F-304576	Entoloma porphyrogriseum	677[3n]	Validert	ekspert	Brandrud, Dima
NOBAS4331-17	O-F-304569	Entoloma lividocyanulum	654[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4332-17	O-F-304563	Entoloma pratulense	695[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4333-17	O-F-304566	Entoloma sericellum	719[3n]	Validert	ekspert	Brandrud, Dima
NOBAS4334-17	O-F-304565	Entoloma politum	882[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4335-17	O-F-304564	Entoloma myrmecophilum	0[n]	no sequence		
NOBAS4336-17	O-F-304568	Entoloma lividocyanulum	657[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4337-17	O-F-304562	Entoloma sericatum	564[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4338-17	O-F-304561	Entoloma melenosmum	943[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4339-17	O-F-304567	Entoloma formosum	710[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4340-17	O-F-304557	Entoloma asprellum	511[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4341-17	O-F-304559	Entoloma griseocyaneum	711[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4342-17	O-F-304543	Entoloma majaloides	501[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4343-17	O-F-304556	Entoloma politum	917[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4344-17	O-F-304560	Entoloma atrocoeruleum	683[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4345-17	O-F-304558	Entoloma politum	912[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4346-17	O-F-304555	Entoloma purpureomarginatum	713[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4347-17	O-F-304554	Entoloma sericatum	899[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4348-17	O-F-304553	Entoloma melenosmum	916[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4349-17	O-F-304552	Entoloma melenosmum	941[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4350-17	O-F-304591	Entoloma kristiansenii	674[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4351-17	O-F-304590	Entoloma lampropus	503[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4352-17	O-F-304551	Entoloma caesiellum	707[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4353-17	O-F-304550	Entoloma mougeotii	692[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4354-17	O-F-304549	Entoloma caesiocinctum	654[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4355-17	O-F-304596	Entoloma majaloides	916[9n]	Validert	ekspert	Brandrud, Dima
NOBAS4356-17	O-F-304589	Entoloma rubrobasis	929[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4357-17	O-F-304548	Entoloma roseotinctum	632[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4358-17	O-F-22011	Episphaeria fraxinicola	703[1n]	Validert	dendrogram	
NOBAS4359-17	O-F-245676	Hemimycena pseudogracilis	660[0n]	Validert	dendrogram	
NOBAS4360-17	O-F-245668	Marasmius limosus	838[0n]	Validert	unite, ref.seq.	
NOBAS4361-17	O-F-245662	Hemimycena mauretanica	681[1n]			
NOBAS4362-17	O-F-245617	Hemimycena gypsella	0[n]	no sequence		
NOBAS4363-17	O-F-245616	Mycenella trachyspora	673[0n]	Validert	unite	
NOBAS4364-17	O-F-21964	Clavicorona taxophila	524[3n]			
NOBAS4365-17	O-F-21951	Clavulinopsis rufipes	643[0n]			
NOBAS4366-17	O-F-21974	Clitopilus scyphoides	630[2n]			
NOBAS4367-17	O-F-245586	Mycenella lasiosperma	687[0n]	Validert	ekspert	Arne Aronsen
NOBAS4368-17	O-F-303427	Mycena filopes	732[0n]	Validert	ekspert	Arne Aronsen
NOBAS4369-17	O-F-245572	Dermoloma pseudocuneifolium	679[0n]	Validert	dendrogram	
NOBAS4370-17	O-F-22056	Hydropus moserianus	700[1n]	Validert	unite, dendrogram	
NOBAS4371-17	O-F-245559	Hemimycena lactea	669[0n]			
NOBAS4372-17	O-F-303381	Mycena guldeniana	718[0n]	Validert	dendrogram, type	
NOBAS4373-17	O-F-245759	Pseudobaeospora pyrifera	644[0n]	Validert	unite	
NOBAS4374-17	O-F-245760	Ramariopsis sp.	609[0n]			
NOBAS4375-17	O-F-21602	Coprinellus subpurpureus	681[0n]			
NOBAS4376-17	O-F-21630	Hemimycena angustispora	676[4n]	Validert	dendrogram	
NOBAS4377-17	O-F-21795	Hemimycena crispula	658[0n]			
NOBAS4378-17	O-F-21792	Clavaria flavipes	637[0n]			
NOBAS4379-17	O-F-21786	Mycenella bryophila	674[0n]	Validert	ekspert	Arne Aronsen
NOBAS4380-17	O-F-297184	Phloeomana alba	671[0n]	Validert	ekspert	Arne Aronsen
NOBAS4381-17	O-F-286569	Mycena tenerrima	0	kontaminering eller annen feil		Arne Aronsen
NOBAS4382-17	O-F-286540	Mycena smithiana	732[0n]	Validert		Arne Aronsen
NOBAS4383-17	O-F-21618	Hemimycena crispula	658[0n]			
NOBAS4384-17	O-F-245544	Mycena filopes	732[0n]	Validert	ekspert	Arne Aronsen
NOBAS4385-17	O-F-245782	Clavaria sp.	610[1n]			
NOBAS4386-17	O-F-21817	Typhula crassipes	597[0n]			
NOBAS4387-17	O-F-22027	Mycena pseudopicta	723[0n]	Validert	ekspert	Arne Aronsen
NOBAS4388-17	O-F-21600	Coprinellus heptemerus	657[1n]	Validert	unite	
NOBAS4389-17	O-F-280667	Mycena capillaris	0	Kontaminering?		Arne Aronsen
NOBAS4390-17	O-F-303943	Tubaria minutalis	633[0n]			
NOBAS4391-17	O-F-21828	Typhula setipes	807[0n]			
NOBAS4392-17	O-F-22028	Ramaria corrugata	649[0n]	Validert	ekspert	Mika Toivonen
NOBAS4393-17	O-F-21939	Omphalina sp.	705[0n]			
NOBAS4394-17	O-F-22014	Mycenella salicina	675[0n]	Validert	unite	
NOBAS4395-17	O-F-22000	Mycena amicta	679[0n]	Validert	unite, dendrogram	
NOBAS4396-17	O-F-245727	Tubaria sp.	688[0n]			
NOBAS4397-17	O-F-21963	Entoloma dysthaloides	1109[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4398-17	O-F-302130	Hohenbuehelia cyphelliformis	695[0n]			
NOBAS4399-17	O-F-21871	Ramariopsis tenuicula	524[0n]			
NOBAS4400-17	O-F-245311	Entoloma dysthaloides	734[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4401-17	O-F-21991	Ramariopsis kunzei	624[0n]	Validert	unite	
NOBAS4402-17	O-F-22073	Hemimycena gracilis	760[0n]			
NOBAS4403-17	O-F-22045	Hemimycena crispula	658[0n]			
NOBAS4404-17	O-F-245505	Coprinus candidatus	683[5n]	Validert	dendrogram	
NOBAS4405-17	O-F-21002	Entoloma strigosissimum	678[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4406-17	O-F-21853	Ramariopsis tenuicula	634[0n]			
NOBAS4407-17	O-F-21831	Clavulinopsis rufipes	595[0n]			
NOBAS4408-17	O-F-245735	Clavaria Vaill.	652[0n]	Validert	unite	
NOBAS4409-17	O-F-21843	Ramariopsis subtilis	588[4n]			
NOBAS4410-17	O-F-21842	Mycenella lasiosperma	673[0n]	Validert	unite	
NOBAS4411-17	O-F-21837	Clavulinopsis rufipes	624[0n]			
NOBAS4412-17	O-F-21693	Mycena citrinomarginata	695[2n]			
NOBAS4413-17	O-F-21926	Coprinellus xanthothrix	644[0n]	Validert	unite, dendrogram	
NOBAS4414-17	O-F-21923	Parasola plicatilis	704[0n]	Validert	unite	
NOBAS4415-17	O-F-22047	Typhula spathulata	774[0n]	Validert	unite, dendrogram	
NOBAS4416-17	O-F-21716	Hemimycena sp.	658[0n]	Validert	dendrogram	
NOBAS4417-17	O-F-21705	Hemimycena mauretanica	677[0n]			
NOBAS4418-17	O-F-21917	Hemimycena gracilis	0[n]	no sequence		
NOBAS4419-17	O-F-22066	Ramariopsis 0	566[0n]			
NOBAS4420-17	O-F-21718	Conocybe moseri	704[0n]			
NOBAS4421-17	O-F-245730	Clavulinopsis rufipes	0[n]	no sequence		
NOBAS4422-17	O-F-251825	Phloeomana alba	666[0n]	Validert	ekspert	Arne Aronsen
NOBAS4423-17	O-F-295805	Mycena capillaris	720[0n]	Validert	unite	
NOBAS4424-17	O-F-303449	Mycena guldeniana	0	Kontaminering		Arne Aronsen
NOBAS4425-17	O-F-22395	Physalacria cryptomeriae	818[0n]	Validert	unite	
NOBAS4426-17	O-F-21769	Typhula lutescens	697[4n]	Validert	dendrogram	
NOBAS4427-17	O-F-21775	Hemimycena mauretanica	681[3n]			
NOBAS4428-17	O-F-21782	Hemimycena subimmaculata	617[3n]			
NOBAS4429-17	O-F-293354	Pholiotina vexans	699[0n]			
NOBAS4430-17	O-F-302952	Galerina	685[13n]	Sjekket		
NOBAS4431-17	O-F-253827	Entoloma sericellum	584[1n]	Validert	ekspert	Brandrud, Dima
NOBAS4432-17	O-F-253872	Entoloma atrocoeruleum	683[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4433-17	O-F-253866	Entoloma serpens	954[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4434-17	O-F-253867	Entoloma caesiellum	619[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4435-17	O-F-253868	Entoloma poliopus	707[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4436-17	O-F-253869	Entoloma undatum	526[4n]	Validert	ekspert	Brandrud, Dima
NOBAS4437-17	O-F-253865	Entoloma turci	709[2n]	Validert	ekspert	Brandrud, Dima
NOBAS4438-17	O-F-253870	Entoloma carneogriseum	711[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4439-17	O-F-253871	Entoloma carneogriseum	711[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4440-17	O-F-253873	Galerina calyptrata	692[0n]			
NOBAS4441-17	O-F-253874	Entoloma atrocoeruleum	683[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4442-17	O-F-253857	Entoloma clandestinum	583[2n]	Validert	ekspert	Brandrud, Dima
NOBAS4443-17	O-F-253863	Entoloma purpureomarginatum	670[10n]	Validert	ekspert	Brandrud, Dima
NOBAS4444-17	O-F-253909	Entoloma cyanulum	713[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4445-17	O-F-253910	Entoloma lividocyanulum	699[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4446-17	O-F-253911	Entoloma juncinum	670[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4447-17	O-F-253893	Entoloma jubatum	708[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4448-17	O-F-253881	Hygrocybe reidii	703[0n]	Validert	unite, ref.seq.	
NOBAS4449-17	O-F-253876	Entoloma exile	712[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4450-17	O-F-253877	Entoloma terreum	668[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4451-17	O-F-253885	Inocybe grammata	636[1n]	Validert	ekspert	Ellen Larsson
NOBAS4452-17	O-F-253882	Hygrocybe psittacina	585[0n]	Validert		
NOBAS4453-17	O-F-253879	Clavulinopsis helvola	625[0n]	Validert	unite	
NOBAS4454-17	O-F-253895	Amanita friabilis	573[0n]	Validert	unite, ref.seq.	
NOBAS4455-17	O-F-253923	Agrocybe pediades	642			
NOBAS4456-17	O-F-253884	Pluteus semibulbosus	652[0n]			
NOBAS4457-17	O-F-253912	Xeromphalina cauticinalis	702[0n]			
NOBAS4458-17	O-F-253875	Hygrocybe laeta	617[0n]			
NOBAS4459-17	O-F-253864	Entoloma formosum	710[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4460-17	O-F-253797	Entoloma majaloides	618[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4461-17	O-F-253794	Phaeocollybia lugubris	699[0n]	Validert	dendrogram	
NOBAS4462-17	O-F-253878	Hygrocybe irrigata	694[0n]	Validert	unite, ref.seq.	
NOBAS4463-17	O-F-253883	Macrocystidia cucumis	656[0n]	Validert	unite	
NOBAS4464-17	O-F-253886	Pleurotus pulmonarius	665[0n]	Validert	unite	
NOBAS4465-17	O-F-253887	Amanita arctica	588[0n]	Validert	unite, ref.seq.	
NOBAS4466-17	O-F-253917	Cortinarius limonius	693[0n]	Validert	ekspert	Balint Dima
NOBAS4467-17	O-F-253916	Hemipholiota heteroclita	751[0n]	Validert	unite	
NOBAS4468-17	O-F-253888	Russula turci	694[0n]	Validert	unite	
NOBAS4469-17	O-F-253890	Cortinarius badiovinaceus	640	Validert	unite, ekspert	Balint Dima
NOBAS4470-17	O-F-253889	Tricholoma fucatum	634[0n]	Validert	unite, ref.seq.	
NOBAS4471-17	O-F-253892	Russula atroglauca	645[0n]	Validert	unite, dendrogram	
NOBAS4472-17	O-F-253896	Lactarius lilacinus	715[0n]	Validert	unite, ref.seq.	
NOBAS4473-17	O-F-253897	Russula subrubens	701[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4474-17	O-F-253907	Cortinarius meinhardii	665[0n]	Validert	ekspert	Balint Dima
NOBAS4475-17	O-F-253894	Hypsizygus ulmarius	680[1n]	Validert	unite,de	
NOBAS4476-17	O-F-253898	Cortinarius stillatitius	542[0n]	Validert	unite, dendrogram, ekspert	Balint Dima
NOBAS4477-17	O-F-253901	Cystoderma carcharias	686[1n]			
NOBAS4478-17	O-F-253906	Cortinarius alnetorum	562	Validert	ekspert	Balint Dima
NOBAS4479-17	O-F-253908	Macrocystidia cucumis	658[1n]	Validert	dendrogram	
NOBAS4480-17	O-F-253914	Cortinarius helobius	588[0n]			
NOBAS4481-17	O-F-253905	Psathyrella 0	684[0n]			
NOBAS4482-17	O-F-253899	Cortinarius evernius	603[0n]	Validert	dendrogram, ekspert	Balint Dima
NOBAS4483-17	O-F-253903	Cortinarius sp.	601[0n]	Validert	unite	
NOBAS4484-17	O-F-253902	Cortinarius evernius	603[0n]	Validert	dendrogram, ekspert	Balint Dima
NOBAS4485-17	O-F-253904	Cortinarius lilacinopusillus	591[0n]	Validert	ekspert	Balint Dima
NOBAS4486-17	O-F-253900	Entoloma juncinum	629[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4487-17	O-F-253798	Dichomitus campestris	636[0n]	Validert	unite, ref.seq.	
NOBAS4488-17	O-F-253880	Clavulinopsis fusiformis	568[1n]			
NOBAS4489-17	O-F-253891	Entoloma lanicum 	657[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4490-17	O-F-253918	Lactarius musteus	729[0n]	Validert	unite	
NOBAS4491-17	O-F-253919	Leccinum niveum	0[n]	no sequence		
NOBAS4492-17	O-F-253920	Russula atrorubens	646[5n]	Validert	unite, dendrogram	
NOBAS4493-17	O-F-253921	Cortinarius quarciticus	571[1n]	Validert	ekspert	Balint Dima
NOBAS4494-17	O-F-253922	Cortinarius heterodepressus	602[0n]	Validert	dendrogram, type	
NOBAS4495-17	O-F-253924	Melanoleuca brevipes	660[0n]			
NOBAS4496-17	O-F-253925	Russula integra	701[0n]	Validert	ekspert	Annemieke Verbeken
NOBAS4497-17	O-F-253930	Entoloma luteobasis	656[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4498-17	O-F-253180	Agaricus bernardii	745[3n]	Validert	unite, typesekvens, ekspert	Luis Parra
NOBAS4499-17	O-F-251982	Entoloma poliopus	707[0n]	Validert	ekspert	Brandrud, Dima
NOBAS4500-17	O-F-300236	Agaricus campestris	0[n]	no sequence		
NOBAS4501-17	O-F-253150	Agaricus devoniensis	739[0n]	Validert	unite, ekspert	Luis Parra
NOBAS4502-17	O-F-252849	Agaricus comtulus	693[0n]			
NOBAS4503-17	O-F-252449	Agaricus macrocarpus	745[1n]	Validert	ekspert	Luis Parra
NOBAS4504-17	O-F-252497	Agaricus impudicus	748[0n]	Validert	ekspert	Luis Parra
NOBAS4505-17	O-F-304012	Agrocybe elatella	698[0n]			
NOBAS4506-17	O-F-300212	Agaricus bisporus	702[1n]	Validert	unite, ekspert	Luis Parra
NOBAS4507-17	O-F-252228	Phloeomana alba	670[0n]	Validert	ekspert	Arne Aronsen
NOBAS4508-17	O-F-252260	Phloeomana minutula	668[0n]	Validert	unite, dendrogram	
NOBAS4509-17	O-F-252299	Phloeomana minutula	668[0n]	Validert	unite, dendrogram	
NOBAS4510-17	O-F-304686	Mycena parca	691[1n]			
